Input Size,Merge Sort,Heap Sort,Quick Sort (Lomuto),Quick Sort (Hoare),Pancake Sort,Insertion Sort,Counting Sort,Bubble Sort,Standard Sort
1,0,0,0,0,0,0,4,0,0
2,1,0,0,0,0,0,6,0,0
4,2,0,0,0,0,0,20,0,0
8,5,0,0,0,1,0,32,0,1
16,7,3,1,1,2,2,45,1,1
32,12,3,2,2,6,4,82,5,3
64,27,9,4,5,18,16,180,23,7
128,38,18,10,11,86,75,353,75,14
256,79,41,28,26,236,246,834,283,31
512,170,96,46,49,971,941,1186,1097,70
1024,350,224,98,115,3844,3760,2659,3952,146
2048,836,466,241,230,13611,17307,5678,17460,329
4096,1749,1084,563,493,53139,61560,11911,66079,739
8192,3271,2394,1107,1046,212399,247812,24477,283026,1406
16384,6685,7825,4354,3170,838248,965580,47350,1190689,2991
32768,16485,10489,4722,4568,3357242,3732878,94015,4875448,7291
65536,30022,24005,10706,9733,13338433,14844973,205330,20439403,15053
131072,81063,72980,31999,30268,64279288,59346853,458841,78638412,29416
 
