Input Size,Merge Sort,Heap Sort,Quick Sort (Lomuto),Quick Sort (Hoare),Pancake Sort,Insertion Sort,Counting Sort,Bubble Sort,Standard Sort
1,0,0,0,0,0,0,2,0,0
2,1,0,0,0,0,0,8,0,0
4,2,0,0,0,0,0,10,0,1
8,10,0,0,0,0,0,6,0,0
16,6,1,1,0,0,0,8,0,0
32,14,2,3,1,2,1,20,0,1
64,21,7,13,7,5,1,23,0,4
128,39,16,51,22,21,3,47,0,6
256,79,39,158,70,127,8,110,0,13
512,159,87,618,234,415,12,174,1,29
1024,330,188,2621,788,2359,28,356,3,72
2048,749,500,11855,3150,5416,73,1270,6,171
4096,1894,1770,42392,15527,23906,100,1229,10,286
8192,2833,1922,162383,49439,81595,209,2506,25,614
16384,6470,4018,636906,191922,327216,408,5068,47,1870
